GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
0500000US34001,34001,"Atlantic County, New Jersey",270681,*****,177019,2939,45917,2191,411,402,17016,725,0,277,22445,3189,7873,2434,706,513,7167,2405
0500000US34003,34003,"Bergen County, New Jersey",894840,*****,675769,5693,50372,2858,949,405,128502,1847,0,277,21288,4921,17960,3504,4059,1544,13901,2847
0500000US34005,34005,"Burlington County, New Jersey",445475,*****,336421,2287,70757,1971,981,585,18511,738,52,85,7987,2221,10766,1928,1502,568,9264,1804
0500000US34007,34007,"Camden County, New Jersey",517234,*****,345676,3783,99636,2145,3272,1669,22822,1150,0,277,34234,3966,11594,2456,2955,1388,8639,2160
0500000US34009,34009,"Cape May County, New Jersey",95838,*****,87337,1328,3696,829,617,656,462,408,0,277,1551,1433,2175,972,89,178,2086,957
0500000US34011,34011,"Cumberland County, New Jersey",156830,*****,106983,2809,30097,1075,1228,286,1837,176,0,277,12377,2899,4308,1185,939,497,3369,1134
0500000US34013,34013,"Essex County, New Jersey",770675,*****,341957,5431,317799,4066,1877,794,34878,1376,537,636,59069,5872,14558,2755,2084,861,12474,2670
0500000US34015,34015,"Gloucester County, New Jersey",287860,*****,242260,1422,28248,1082,333,326,6910,435,52,91,4994,1546,5063,1398,41,68,5022,1391
0500000US34017,34017,"Hudson County, New Jersey",595419,*****,362096,6459,79861,2893,1688,1056,68241,1587,0,277,70524,6624,13009,2409,4544,1342,8465,1934
0500000US34019,34019,"Hunterdon County, New Jersey",129031,*****,116962,1272,4013,359,90,129,4498,442,0,277,2231,1244,1237,662,383,384,854,579
0500000US34021,34021,"Mercer County, New Jersey",364883,*****,244302,3082,72347,2333,1677,1517,29849,654,0,277,9386,2945,7322,2215,1358,822,5964,2044
0500000US34023,34023,"Middlesex County, New Jersey",789102,*****,503400,6086,77495,2712,987,402,151179,1636,54,93,41821,6219,14166,2879,4252,1722,9914,2396
0500000US34025,34025,"Monmouth County, New Jersey",642448,*****,539433,3649,49019,2768,1944,1034,32455,965,0,277,8283,2646,11314,2665,1053,722,10261,2638
0500000US34027,34027,"Morris County, New Jersey",487548,*****,405756,3026,14810,1126,1406,763,41562,915,42,70,15534,3176,8438,2619,3333,1648,5105,1576
0500000US34029,34029,"Ocean County, New Jersey",569111,*****,517529,4141,18969,1195,457,366,9789,971,117,197,14381,4032,7869,2396,2455,2108,5414,1458
0500000US34031,34031,"Passaic County, New Jersey",490948,*****,288342,6678,62600,2728,1341,998,23624,1119,174,271,106488,7126,8379,2639,1293,744,7086,2503
0500000US34033,34033,"Salem County, New Jersey",66141,*****,53522,718,10988,508,35,58,275,254,0,277,902,582,419,325,105,187,314,269
0500000US34035,34035,"Somerset County, New Jersey",324563,*****,239766,3456,26342,1910,0,277,41431,874,0,277,11178,3417,5846,1526,948,838,4898,1492
0500000US34037,34037,"Sussex County, New Jersey",150909,*****,140288,1413,2776,595,165,182,3265,394,0,277,2762,1265,1653,861,584,716,1069,603
0500000US34039,34039,"Union County, New Jersey",523249,*****,318893,5849,113213,2388,1254,948,23279,873,311,518,58616,5977,7683,2371,3326,1790,4357,1328
0500000US34041,34041,"Warren County, New Jersey",109876,*****,100410,765,4043,235,0,277,2871,410,0,277,1216,663,1336,601,345,262,991,499
