GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0500000US34001,34001,"Atlantic County, New Jersey",275422,*****,183122,3455,44567,1882,496,368,22059,2047,62,104,16439,3943,8677,1931,3505,1409,5172,1190
0500000US34003,34003,"Bergen County, New Jersey",918888,*****,655469,6118,50478,2186,2101,652,137980,3440,132,160,44996,5879,27732,4520,7062,1924,20670,4425
0500000US34005,34005,"Burlington County, New Jersey",451336,*****,329194,2555,70525,2871,1260,608,21192,991,153,200,12731,2778,16281,3328,2481,1041,13800,2878
0500000US34007,34007,"Camden County, New Jersey",513539,*****,326496,2981,102432,2926,1269,673,27563,1184,0,192,40531,3714,15248,2773,5130,2066,10118,2218
0500000US34009,34009,"Cape May County, New Jersey",96304,*****,87415,1549,3259,723,611,579,1008,354,0,192,1518,1619,2493,1178,254,311,2239,982
0500000US34011,34011,"Cumberland County, New Jersey",157785,*****,95239,3376,32005,1658,925,379,2133,317,0,192,20860,3581,6623,1879,2096,1426,4527,1298
0500000US34013,34013,"Essex County, New Jersey",787744,*****,325625,5926,313745,3357,2536,873,38415,1456,432,88,83616,5887,23375,3502,6041,1772,17334,3157
0500000US34015,34015,"Gloucester County, New Jersey",289586,*****,238170,2443,29717,1629,482,222,8226,1019,130,207,6410,2424,6451,2058,1952,952,4499,1728
0500000US34017,34017,"Hudson County, New Jersey",652302,*****,363477,7885,86669,4520,3161,1427,93136,1678,193,210,87801,7389,17865,2800,8575,1870,9290,1972
0500000US34019,34019,"Hunterdon County, New Jersey",127050,*****,116247,721,3174,577,102,118,3356,1379,1293,1527,695,457,2183,801,387,377,1796,700
0500000US34021,34021,"Mercer County, New Jersey",368303,*****,234654,3756,73229,2189,682,728,35129,1119,0,192,17253,3883,7356,2017,1297,674,6059,1999
0500000US34023,34023,"Middlesex County, New Jersey",823041,*****,512824,5111,79153,2266,1304,590,187914,1360,0,192,25356,4814,16490,2555,5907,1734,10583,1897
0500000US34025,34025,"Monmouth County, New Jersey",629384,*****,522271,3376,48363,3160,1502,775,31871,1533,58,104,13877,2804,11442,2527,513,398,10929,2539
0500000US34027,34027,"Morris County, New Jersey",497999,*****,406693,3936,15706,1166,608,539,48291,1429,0,192,17497,4280,9204,2313,1826,910,7378,1999
0500000US34029,34029,"Ocean County, New Jersey",580470,*****,534638,3524,18690,1185,1825,2005,10459,939,0,192,7237,2543,7621,1652,849,532,6772,1576
0500000US34031,34031,"Passaic County, New Jersey",502885,*****,346489,8345,69539,6466,1654,577,24590,1836,0,192,38162,6157,22451,4718,2697,1045,19754,4610
0500000US34033,34033,"Salem County, New Jersey",65774,*****,51094,841,9411,416,0,192,718,106,0,192,3646,889,905,444,0,192,905,444
0500000US34035,34035,"Somerset County, New Jersey",327707,*****,226376,3485,29335,893,265,169,50289,1068,63,105,15980,3348,5399,1430,1122,678,4277,1331
0500000US34037,34037,"Sussex County, New Jersey",147442,*****,137187,1281,3361,555,144,201,2652,516,90,157,1742,1131,2266,876,709,581,1557,797
0500000US34039,34039,"Union County, New Jersey",543976,*****,323137,5555,120120,2904,451,571,25460,1404,0,192,63531,5940,11277,1899,3785,1272,7492,1653
0500000US34041,34041,"Warren County, New Jersey",107653,*****,95858,1467,4210,522,196,228,2735,282,0,192,3189,1479,1465,701,137,110,1328,687
