GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0500000US34001,34001,"Atlantic County, New Jersey",274685,*****,184736,4383,44005,1954,554,269,21383,862,716,861,15618,4235,7673,2318,4243,1806,3430,1294
0500000US34003,34003,"Bergen County, New Jersey",906541,*****,666546,5193,49811,2143,2061,1145,131089,2427,0,281,39831,5150,17203,2780,4444,1322,12759,2552
0500000US34005,34005,"Burlington County, New Jersey",449149,*****,334694,2086,74845,2199,536,454,19499,1065,141,225,6420,1585,13014,2534,2476,1180,10538,2333
0500000US34007,34007,"Camden County, New Jersey",513607,*****,325499,3549,97319,2353,2228,946,25859,1368,34,58,46298,4588,16370,3201,6170,1932,10200,2622
0500000US34009,34009,"Cape May County, New Jersey",97253,*****,88869,1399,4034,1368,1618,1460,969,313,0,281,272,221,1491,1035,166,261,1325,985
0500000US34011,34011,"Cumberland County, New Jersey",157149,*****,97106,3283,32075,1744,1031,464,2062,277,0,281,18236,3497,6639,1738,2049,879,4590,1637
0500000US34013,34013,"Essex County, New Jersey",784228,*****,341723,7281,319381,2973,2659,991,36329,1349,40,67,44786,6546,39310,5595,6927,2046,32383,5597
0500000US34015,34015,"Gloucester County, New Jersey",288581,*****,239453,1770,28775,1528,412,299,7611,846,113,189,5424,1920,6793,1700,1640,774,5153,1576
0500000US34017,34017,"Hudson County, New Jersey",635294,*****,326560,8134,82880,3579,1336,547,84760,2081,0,281,118741,8431,21017,3230,8444,2303,12573,2360
0500000US34019,34019,"Hunterdon County, New Jersey",128373,*****,117555,877,3161,405,208,219,3973,524,102,170,1529,931,1845,699,106,177,1739,646
0500000US34021,34021,"Mercer County, New Jersey",366789,*****,229142,4983,75871,1500,786,126,32365,930,0,281,20930,4754,7695,1744,2329,1181,5366,1575
0500000US34023,34023,"Middlesex County, New Jersey",810986,*****,515634,4976,74513,2346,1478,431,175464,2087,228,228,22356,4361,21313,3466,6506,1974,14807,3346
0500000US34025,34025,"Monmouth County, New Jersey",630966,*****,525380,4322,46068,1721,276,237,31260,1536,0,281,10244,3710,17738,4343,2892,1552,14846,3951
0500000US34027,34027,"Morris County, New Jersey",492694,*****,406190,4638,15971,975,736,522,43945,1545,0,281,17888,4730,7964,1980,3171,1212,4793,1667
0500000US34029,34029,"Ocean County, New Jersey",577603,*****,525207,3541,16710,2009,106,150,8863,1173,321,436,15124,3528,11272,3231,2883,1254,8389,2486
0500000US34031,34031,"Passaic County, New Jersey",501860,*****,340256,6883,60731,1979,1385,491,26289,884,0,281,63506,6657,9693,2794,3492,1233,6201,2611
0500000US34033,34033,"Salem County, New Jersey",66058,*****,53833,789,10046,912,41,57,347,356,0,281,893,580,898,531,141,180,757,540
0500000US34035,34035,"Somerset County, New Jersey",324194,*****,226154,3981,27511,1114,541,419,44609,1748,206,339,17320,4055,7853,2300,1226,830,6627,2031
0500000US34037,34037,"Sussex County, New Jersey",149239,*****,140068,928,2844,563,297,390,2507,578,0,281,1179,812,2344,842,457,410,1887,777
0500000US34039,34039,"Union County, New Jersey",537661,*****,319203,6528,115299,3020,549,189,23293,1524,599,963,68994,6563,9724,2265,2498,1262,7226,2030
0500000US34041,34041,"Warren County, New Jersey",108714,*****,99477,976,4294,508,118,134,2601,522,0,281,761,591,1463,932,468,693,995,634
