GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
0500000US34001,34001,"Atlantic County, New Jersey",270644,*****,177910,3119,45431,1507,275,260,17758,760,48,83,24212,3367,5010,2014,690,723,4320,1821
0500000US34003,34003,"Bergen County, New Jersey",895744,*****,654060,5521,50766,2041,824,457,127885,1623,0,277,49020,5908,13189,2650,3857,1534,9332,2224
0500000US34005,34005,"Burlington County, New Jersey",446817,*****,335121,2100,71809,1821,1348,480,18437,879,0,277,10157,1947,9945,2375,1373,657,8572,2220
0500000US34007,34007,"Camden County, New Jersey",513769,*****,341175,3041,94933,1919,321,246,22781,1053,0,277,42024,3271,12535,2249,2832,1106,9703,1996
0500000US34009,34009,"Cape May County, New Jersey",96422,*****,88470,841,4817,883,442,486,442,331,0,277,833,584,1418,826,548,429,870,729
0500000US34011,34011,"Cumberland County, New Jersey",155544,*****,103421,2466,31326,1169,1895,851,1873,226,96,168,13074,2566,3859,1153,1059,838,2800,997
0500000US34013,34013,"Essex County, New Jersey",776087,*****,315177,5350,315740,2490,2887,1017,34374,697,0,277,94317,5660,13592,2345,6293,1585,7299,1699
0500000US34015,34015,"Gloucester County, New Jersey",285753,*****,241504,1087,27779,1105,309,238,6986,284,0,277,3989,1015,5186,1274,947,495,4239,1251
0500000US34017,34017,"Hudson County, New Jersey",598160,*****,348229,8142,83733,3616,2367,1050,66966,1480,460,616,85297,8292,11108,2352,5700,1873,5408,1427
0500000US34019,34019,"Hunterdon County, New Jersey",129348,*****,117479,779,3572,531,87,133,4183,526,0,277,2476,706,1551,782,261,265,1290,718
0500000US34021,34021,"Mercer County, New Jersey",365449,*****,239084,3562,73113,1476,714,294,28706,787,65,107,18019,3565,5748,1501,1129,688,4619,1373
0500000US34023,34023,"Middlesex County, New Jersey",788629,*****,502255,7463,77836,2044,920,519,144547,2079,94,114,49689,7619,13288,2289,3061,936,10227,2044
0500000US34025,34025,"Monmouth County, New Jersey",642030,*****,528649,3991,50409,1698,937,572,32346,917,58,94,20737,4102,8894,1881,2134,1178,6760,1818
0500000US34027,34027,"Morris County, New Jersey",488475,*****,407498,4136,15664,995,1336,495,40560,1193,102,166,17078,4187,6237,1584,1379,765,4858,1469
0500000US34029,34029,"Ocean County, New Jersey",565493,*****,514159,3197,19995,968,612,422,9574,982,0,277,14639,3069,6514,2119,1925,1105,4589,1821
0500000US34031,34031,"Passaic County, New Jersey",492115,*****,282964,6137,60551,1561,795,554,22028,1419,385,409,115018,6589,10374,2539,4005,2104,6369,1935
0500000US34033,34033,"Salem County, New Jersey",66016,*****,53048,741,10184,759,243,277,335,237,0,277,897,535,1309,428,356,175,953,392
0500000US34035,34035,"Somerset County, New Jersey",323552,*****,241204,2997,28248,902,398,385,40052,1039,0,277,10199,2904,3451,1178,682,675,2769,1091
0500000US34037,34037,"Sussex County, New Jersey",151478,*****,141021,1314,2797,570,479,327,2482,539,0,277,3512,1484,1187,536,251,201,936,571
0500000US34039,34039,"Union County, New Jersey",524658,*****,303621,5194,113592,1912,740,635,23526,637,369,589,76620,5220,6190,1581,1636,782,4554,1217
0500000US34041,34041,"Warren County, New Jersey",109737,*****,101531,702,3534,451,93,137,2643,462,0,277,1023,760,913,667,21,37,892,671
