Geography,year,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,two_or_more_races!!two_races_including_some_other_race,"two_or_more_races!!two_races_excluding_some_other_race,_and_three_or_more_races"
ATLANTIC,2006,65.60047124659451,16.402694941462336,0.08136366983285472,6.621014652823797,0.014726456078344746,10.060746631323173,1.2189824018849864,0.1461600765775716,1.0728223253074147
BERGEN,2006,74.40005221025245,5.697111954488589,0.12676472312527032,13.868127078869561,0.015928551596892607,4.499594596238871,1.3924208854283617,0.42332338167574995,0.9690975037526118
BURLINGTON,2006,74.65109724894425,16.28087087546907,0.10252381681523744,3.995987812536754,0.012870955357757083,2.8637875671009505,2.0928617237759832,0.33286953511440726,1.7599921886615761
CAMDEN,2006,66.75286894996336,18.81098876017648,0.26789116462057133,4.601345065096586,0.034042487345285595,7.677741435703219,1.8551221370945126,0.5096701940615201,1.3454519430329923
CAPE MAY,2006,90.66452457942778,6.104948630837869,0.16065654291678605,0.3714542998649257,0,1.4551184969915272,1.2432974499611151,0.41033932299128156,0.8329581269698334
CUMBERLAND,2006,67.07788894414912,20.371650207010585,0.890694535049702,1.1096542503374822,0,8.855273441284565,1.694838622168541,0.6116662253024422,1.083172396866099
ESSEX,2006,42.574607547952226,41.12538749114351,0.3384863136283672,4.29588868239655,0.005088106931655276,9.86672975919262,1.7938120987550674,1.0060459430615394,0.787766155693528
GLOUCESTER,2006,84.73926625087313,9.731908903631162,0.13509153249110914,2.274927224312221,0.025883679453677078,1.238161762359457,1.8547606468792437,0.45420538876931965,1.400555258109924
HUDSON,2006,56.53851144314359,14.173927797906,0.5181769486946599,11.3343513888473,0.025118689968826206,16.079787605673165,1.3301261257664527,0.6695544842683807,0.660571641498072
HUNTERDON,2006,91.78410038001881,1.9130926802413155,0,3.830773112713426,0,1.3740317931229593,1.098002033903489,0.04281902082074887,1.05518301308274
MERCER,2006,65.79235864582908,19.656152663864745,0.20674365147372858,8.295316984263,0.13574352905972442,4.56549829300472,1.3481862325049987,0.2023911535479659,1.1457950789570328
MIDDLESEX,2006,60.826256621908556,9.354220168214585,0.17802434905479364,18.09761732007914,0,9.676341313720583,1.8675402270223427,0.7869413231237238,1.080598903898619
MONMOUTH,2006,82.36051535924821,7.63247991059131,0.2192716654729767,5.194204176078452,0.010546447657350638,3.3443257750458457,1.2386566659058533,0.4468860432719174,0.7917706226339358
MORRIS,2006,83.69251358585448,3.0722280801362642,0.02331900397436937,8.59538486495255,0.4572552518452429,3.1888231000081113,0.9704761132289723,0.32322167247951983,0.6472544407494525
OCEAN,2006,90.62018192002988,3.2900317426445094,0.11132154320822997,1.6438599767042779,0.05263766260325251,3.1886686761450025,1.0932984786648527,0.4008286875261188,0.692469791138734
PASSAIC,2006,58.98654778884435,12.0834531968867,0.13800234563753663,4.618652847656274,0,22.55131333573396,1.6220304852411924,0.8618105666344125,0.7602199186067798
SALEM,2006,80.01952098505893,15.172310233501014,0.21923567835423077,0.47300848412042945,0,3.3365868308431565,0.7793377881222313,0.06306779788272393,0.7162699902395075
SOMERSET,2006,75.07480273670055,8.493889310457577,0.16410332340076375,12.540640249733178,0,2.4637091052667297,1.2628552744412158,0.4824390936067566,0.7804161808344592
SUSSEX,2006,93.964820320242,1.6670578417566368,0,1.8789443488238669,0,1.4727742137380693,1.0164032754394199,0.11278881760809473,0.9036144578313252
UNION,2006,59.390910734190946,21.158452083270568,0.17473563703190434,4.633130479317928,0.10600879703551955,13.123060585063115,1.413701684090019,0.5835191154761546,0.8301825686138643
WARREN,2006,89.5022493891939,3.4917372136423874,0,2.56493477222117,0,3.4926387724375445,0.9484398525049811,0.49315266095078397,0.4552871915541972
ATLANTIC,2007,65.73580053502018,16.786257962489472,0.10160949439115591,6.5613869141750785,0.01773547538463812,8.94606937526788,1.851140243271604,0.254947458654173,1.5961927846174309
BERGEN,2007,73.01863032294942,5.6674674907116325,0.09199056873392399,14.276958595312946,0,5.4725457273506715,1.4724072949414118,0.43059177622177763,1.0418155187196343
BURLINGTON,2007,75.00184639348996,16.071232741816,0.3016895059946242,4.126297790818165,0,2.2731901427206216,2.2257434251606365,0.3072846377823583,1.918458787378278
CAMDEN,2007,66.40630322187599,18.477759459990775,0.06247944114962172,4.434093921587328,0,8.179551510503748,2.439812444892549,0.551220490142457,1.888591954750092
CAPE MAY,2007,91.75291945821493,4.995747858372571,0.4584016095911721,0.4584016095911721,0,0.8639107257679782,1.4706187384621767,0.5683350272759329,0.9022837111862438
CUMBERLAND,2007,66.48986781875224,20.139638944607313,1.2183047883557065,1.204160880522553,0.06171887054466903,8.405338682302114,2.4809700149153935,0.6808362906958803,1.8001337242195135
ESSEX,2007,40.61103974167845,40.683583154981335,0.3719943769190825,4.429142609011619,0,12.152890075468344,1.7513500419411743,0.8108626996715573,0.9404873422696167
GLOUCESTER,2007,84.51494822451558,9.7213327594111,0.10813534766039201,2.444768733836565,0,1.39596084730519,1.8148540872711747,0.3314050946096804,1.4834489926614944
HUDSON,2007,58.21669787347867,13.998428514109937,0.39571352146582855,11.195332352547812,0.07690250100307609,14.259897017520395,1.8570282198742811,0.9529222950381169,0.9041059248361643
HUNTERDON,2007,90.82397872406221,2.7615425054890683,0.0672604137675109,3.2339116182700933,0,1.9142159136592758,1.1990908247518324,0.2017812413025327,0.9973095834492995
MERCER,2007,65.42198774658023,20.00634835503723,0.19537609899055683,7.854994814597934,0.01778633954395825,4.930646957578213,1.5728596876718774,0.3089350360789057,1.2639246515929718
MIDDLESEX,2007,63.68710762601933,9.869786680428946,0.11665814977638408,18.32889736492064,0.01191941965106533,6.300681308955161,1.6849494502484692,0.388141952679904,1.296807497568565
MONMOUTH,2007,82.34023332243041,7.851502266249241,0.14594333598118467,5.038082332601281,0.009033845770446863,3.2299113748578723,1.3852935221095588,0.3323832219678208,1.052910300141738
MORRIS,2007,83.4224883566201,3.2067147755770513,0.27350427350427353,8.303393213572855,0.02088131429448795,3.4961871129535798,1.27683095347766,0.28230718051077336,0.9945237729668868
OCEAN,2007,90.9222572162697,3.535852786860315,0.10822415131575458,1.6930359880670494,0,2.5887146259989073,1.1519152314882766,0.34041093346867246,0.8115042980196042
PASSAIC,2007,57.499568190362005,12.304237830588379,0.1615476057425602,4.4761895085498304,0.07823374617721468,23.37217926704124,2.1080438515387665,0.8138341647785579,1.2942096867602084
SALEM,2007,80.3562772661173,15.426563257392148,0.3680925836160931,0.5074527387300048,0,1.3587615123606398,1.98285264178381,0.5392632089190499,1.44358943286476
SOMERSET,2007,74.54875877756898,8.730590446048858,0.12300959351201662,12.378844822470576,0,3.1521981010780338,1.0665982593215309,0.21078528335476215,0.855812975966769
SUSSEX,2007,93.09668730772785,1.8464727551195554,0.3162175365399596,1.6385217655369095,0,2.3184884933785765,0.7836121416971441,0.1657006297944256,0.6179115119027185
