Geography,year,category,estimate
CAPE MAY,2014,45 to 49 years,3074
CAPE MAY,2014,5 to 9 years,5276
CAPE MAY,2014,50 to 54 years,3639
CAPE MAY,2014,55 to 59 years,3189
CAPE MAY,2014,60 and 61 years,1847
CAPE MAY,2014,62 to 64 years,2160
CAPE MAY,2014,65 and 66 years,1626
CAPE MAY,2014,67 to 69 years,2068
CAPE MAY,2014,70 to 74 years,2328
CAPE MAY,2014,75 to 79 years,2291
CAPE MAY,2014,80 to 84 years,1150
CAPE MAY,2014,85 years and over,881
CAPE MAY,2014,Female,48347
CAPE MAY,2014,Male,46997
CAPE MAY,2014,Total,95344
CAPE MAY,2014,Under 5 years,4501
CAPE MAY,2015,10 to 14 years,4450
CAPE MAY,2015,15 to 17 years,1560
CAPE MAY,2015,18 and 19 years,1023
CAPE MAY,2015,20 years,969
CAPE MAY,2015,21 years,431
CAPE MAY,2015,22 to 24 years,1648
CAPE MAY,2015,25 to 29 years,2674
CAPE MAY,2015,30 to 34 years,2154
CAPE MAY,2015,35 to 39 years,2165
CAPE MAY,2015,40 to 44 years,2499
CAPE MAY,2015,45 to 49 years,2982
CAPE MAY,2015,5 to 9 years,4527
CAPE MAY,2015,50 to 54 years,3611
CAPE MAY,2015,55 to 59 years,3179
CAPE MAY,2015,60 and 61 years,1436
CAPE MAY,2015,62 to 64 years,2742
CAPE MAY,2015,65 and 66 years,1670
CAPE MAY,2015,67 to 69 years,2147
CAPE MAY,2015,70 to 74 years,2477
CAPE MAY,2015,75 to 79 years,1695
CAPE MAY,2015,80 to 84 years,1096
CAPE MAY,2015,85 years and over,1201
CAPE MAY,2015,Female,48134
CAPE MAY,2015,Male,46593
CAPE MAY,2015,Total,94727
CAPE MAY,2015,Under 5 years,4167
CUMBERLAND,2006,10 to 14 years,8353
CUMBERLAND,2006,15 to 17 years,3580
CUMBERLAND,2006,18 and 19 years,2267
CUMBERLAND,2006,20 years,1142
CUMBERLAND,2006,21 years,1098
CUMBERLAND,2006,22 to 24 years,3258
CUMBERLAND,2006,25 to 29 years,6832
CUMBERLAND,2006,30 to 34 years,6104
CUMBERLAND,2006,35 to 39 years,7746
CUMBERLAND,2006,40 to 44 years,7777
CUMBERLAND,2006,45 to 49 years,5453
CUMBERLAND,2006,5 to 9 years,11477
CUMBERLAND,2006,50 to 54 years,3913
CUMBERLAND,2006,55 to 59 years,4937
CUMBERLAND,2006,60 and 61 years,1436
CUMBERLAND,2006,62 to 64 years,1741
CUMBERLAND,2006,65 and 66 years,693
CUMBERLAND,2006,67 to 69 years,1335
CUMBERLAND,2006,70 to 74 years,1730
CUMBERLAND,2006,75 to 79 years,1582
CUMBERLAND,2006,80 to 84 years,1134
CUMBERLAND,2006,85 years and over,645
CUMBERLAND,2006,Female,74874
CUMBERLAND,2006,Male,79949
CUMBERLAND,2006,Total,154823
CUMBERLAND,2006,Under 5 years,10693
CUMBERLAND,2007,10 to 14 years,9613
CUMBERLAND,2007,15 to 17 years,4566
CUMBERLAND,2007,18 and 19 years,1997
CUMBERLAND,2007,20 years,1363
CUMBERLAND,2007,21 years,1348
CUMBERLAND,2007,22 to 24 years,2804
CUMBERLAND,2007,25 to 29 years,7428
CUMBERLAND,2007,30 to 34 years,6969
CUMBERLAND,2007,35 to 39 years,6641
CUMBERLAND,2007,40 to 44 years,6219
CUMBERLAND,2007,45 to 49 years,5889
CUMBERLAND,2007,5 to 9 years,9921
CUMBERLAND,2007,50 to 54 years,4800
CUMBERLAND,2007,55 to 59 years,4104
CUMBERLAND,2007,60 and 61 years,1141
CUMBERLAND,2007,62 to 64 years,2244
CUMBERLAND,2007,65 and 66 years,1152
CUMBERLAND,2007,67 to 69 years,1542
CUMBERLAND,2007,70 to 74 years,1699
CUMBERLAND,2007,75 to 79 years,2039
CUMBERLAND,2007,80 to 84 years,904
CUMBERLAND,2007,85 years and over,460
CUMBERLAND,2007,Female,74378
CUMBERLAND,2007,Male,81166
CUMBERLAND,2007,Total,155544
CUMBERLAND,2007,Under 5 years,11532
CUMBERLAND,2008,10 to 14 years,10489
CUMBERLAND,2008,15 to 17 years,3025
CUMBERLAND,2008,18 and 19 years,1730
CUMBERLAND,2008,20 years,2011
CUMBERLAND,2008,21 years,845
CUMBERLAND,2008,22 to 24 years,3450
CUMBERLAND,2008,25 to 29 years,6697
CUMBERLAND,2008,30 to 34 years,7228
CUMBERLAND,2008,35 to 39 years,6174
CUMBERLAND,2008,40 to 44 years,7001
CUMBERLAND,2008,45 to 49 years,5680
CUMBERLAND,2008,5 to 9 years,9320
CUMBERLAND,2008,50 to 54 years,4740
CUMBERLAND,2008,55 to 59 years,4274
CUMBERLAND,2008,60 and 61 years,1662
CUMBERLAND,2008,62 to 64 years,1377
CUMBERLAND,2008,65 and 66 years,978
CUMBERLAND,2008,67 to 69 years,1273
CUMBERLAND,2008,70 to 74 years,2269
CUMBERLAND,2008,75 to 79 years,1533
CUMBERLAND,2008,80 to 84 years,1586
CUMBERLAND,2008,85 years and over,797
CUMBERLAND,2008,Female,76291
CUMBERLAND,2008,Male,80539
CUMBERLAND,2008,Total,156830
CUMBERLAND,2008,Under 5 years,11958
CUMBERLAND,2009,10 to 14 years,10115
CUMBERLAND,2009,15 to 17 years,3497
CUMBERLAND,2009,18 and 19 years,2375
CUMBERLAND,2009,20 years,1078
CUMBERLAND,2009,21 years,1445
CUMBERLAND,2009,22 to 24 years,3324
CUMBERLAND,2009,25 to 29 years,6872
CUMBERLAND,2009,30 to 34 years,6985
CUMBERLAND,2009,35 to 39 years,6395
CUMBERLAND,2009,40 to 44 years,5827
CUMBERLAND,2009,45 to 49 years,6230
CUMBERLAND,2009,5 to 9 years,10108
CUMBERLAND,2009,50 to 54 years,4804
CUMBERLAND,2009,55 to 59 years,4963
CUMBERLAND,2009,60 and 61 years,1508
CUMBERLAND,2009,62 to 64 years,1712
CUMBERLAND,2009,65 and 66 years,1003
CUMBERLAND,2009,67 to 69 years,1553
CUMBERLAND,2009,70 to 74 years,2295
CUMBERLAND,2009,75 to 79 years,1213
CUMBERLAND,2009,80 to 84 years,827
CUMBERLAND,2009,85 years and over,1102
CUMBERLAND,2009,Female,76424
CUMBERLAND,2009,Male,81321
CUMBERLAND,2009,Total,157745
CUMBERLAND,2009,Under 5 years,12160
CUMBERLAND,2010,10 to 14 years,9600
CUMBERLAND,2010,15 to 17 years,3921
CUMBERLAND,2010,18 and 19 years,1756
CUMBERLAND,2010,20 years,1510
CUMBERLAND,2010,21 years,971
CUMBERLAND,2010,22 to 24 years,4264
CUMBERLAND,2010,25 to 29 years,5906
CUMBERLAND,2010,30 to 34 years,6498
CUMBERLAND,2010,35 to 39 years,6218
CUMBERLAND,2010,40 to 44 years,6067
CUMBERLAND,2010,45 to 49 years,6515
CUMBERLAND,2010,5 to 9 years,10817
CUMBERLAND,2010,50 to 54 years,5082
CUMBERLAND,2010,55 to 59 years,4974
CUMBERLAND,2010,60 and 61 years,1626
CUMBERLAND,2010,62 to 64 years,2039
CUMBERLAND,2010,65 and 66 years,1259
CUMBERLAND,2010,67 to 69 years,1732
CUMBERLAND,2010,70 to 74 years,2111
CUMBERLAND,2010,75 to 79 years,1486
CUMBERLAND,2010,80 to 84 years,883
CUMBERLAND,2010,85 years and over,861
CUMBERLAND,2010,Female,75669
CUMBERLAND,2010,Male,81480
CUMBERLAND,2010,Total,157149
CUMBERLAND,2010,Under 5 years,10596
CUMBERLAND,2011,10 to 14 years,10777
CUMBERLAND,2011,15 to 17 years,2713
CUMBERLAND,2011,18 and 19 years,2265
CUMBERLAND,2011,20 years,1228
CUMBERLAND,2011,21 years,1211
CUMBERLAND,2011,22 to 24 years,3162
CUMBERLAND,2011,25 to 29 years,6404
CUMBERLAND,2011,30 to 34 years,7032
CUMBERLAND,2011,35 to 39 years,6014
CUMBERLAND,2011,40 to 44 years,6317
CUMBERLAND,2011,45 to 49 years,5645
CUMBERLAND,2011,5 to 9 years,9797
CUMBERLAND,2011,50 to 54 years,5345
CUMBERLAND,2011,55 to 59 years,4780
CUMBERLAND,2011,60 and 61 years,1248
CUMBERLAND,2011,62 to 64 years,2673
CUMBERLAND,2011,65 and 66 years,1307
CUMBERLAND,2011,67 to 69 years,1888
CUMBERLAND,2011,70 to 74 years,1749
CUMBERLAND,2011,75 to 79 years,1234
CUMBERLAND,2011,80 to 84 years,1147
CUMBERLAND,2011,85 years and over,1049
CUMBERLAND,2011,Female,76935
CUMBERLAND,2011,Male,80160
CUMBERLAND,2011,Total,157095
CUMBERLAND,2011,Under 5 years,10638
CUMBERLAND,2012,10 to 14 years,9956
CUMBERLAND,2012,15 to 17 years,3166
CUMBERLAND,2012,18 and 19 years,1652
CUMBERLAND,2012,20 years,737
CUMBERLAND,2012,21 years,1612
CUMBERLAND,2012,22 to 24 years,4197
CUMBERLAND,2012,25 to 29 years,6456
CUMBERLAND,2012,30 to 34 years,6689
CUMBERLAND,2012,35 to 39 years,5601
CUMBERLAND,2012,40 to 44 years,6430
CUMBERLAND,2012,45 to 49 years,5884
CUMBERLAND,2012,5 to 9 years,10637
CUMBERLAND,2012,50 to 54 years,5432
CUMBERLAND,2012,55 to 59 years,5059
CUMBERLAND,2012,60 and 61 years,2051
CUMBERLAND,2012,62 to 64 years,2487
CUMBERLAND,2012,65 and 66 years,1351
CUMBERLAND,2012,67 to 69 years,1662
CUMBERLAND,2012,70 to 74 years,1608
CUMBERLAND,2012,75 to 79 years,1258
CUMBERLAND,2012,80 to 84 years,1169
CUMBERLAND,2012,85 years and over,817
CUMBERLAND,2012,Female,76423
CUMBERLAND,2012,Male,81362
CUMBERLAND,2012,Total,157785
CUMBERLAND,2012,Under 5 years,10663
CUMBERLAND,2013,10 to 14 years,8383
CUMBERLAND,2013,15 to 17 years,2457
CUMBERLAND,2013,18 and 19 years,2092
CUMBERLAND,2013,20 years,453
CUMBERLAND,2013,21 years,796
CUMBERLAND,2013,22 to 24 years,4358
CUMBERLAND,2013,25 to 29 years,6350
CUMBERLAND,2013,30 to 34 years,7027
CUMBERLAND,2013,35 to 39 years,6703
CUMBERLAND,2013,40 to 44 years,5168
CUMBERLAND,2013,45 to 49 years,5590
CUMBERLAND,2013,5 to 9 years,12345
CUMBERLAND,2013,50 to 54 years,5422
CUMBERLAND,2013,55 to 59 years,5070
CUMBERLAND,2013,60 and 61 years,1635
CUMBERLAND,2013,62 to 64 years,2345
CUMBERLAND,2013,65 and 66 years,1192
CUMBERLAND,2013,67 to 69 years,1803
CUMBERLAND,2013,70 to 74 years,2177
CUMBERLAND,2013,75 to 79 years,1401
CUMBERLAND,2013,80 to 84 years,1198
CUMBERLAND,2013,85 years and over,1041
CUMBERLAND,2013,Female,76957
CUMBERLAND,2013,Male,80375
CUMBERLAND,2013,Total,157332
CUMBERLAND,2013,Under 5 years,10720
CUMBERLAND,2014,10 to 14 years,8396
CUMBERLAND,2014,15 to 17 years,3246
CUMBERLAND,2014,18 and 19 years,1445
CUMBERLAND,2014,20 years,1648
CUMBERLAND,2014,21 years,1051
CUMBERLAND,2014,22 to 24 years,3690
CUMBERLAND,2014,25 to 29 years,5990
CUMBERLAND,2014,30 to 34 years,6858
CUMBERLAND,2014,35 to 39 years,6565
CUMBERLAND,2014,40 to 44 years,5983
CUMBERLAND,2014,45 to 49 years,5211
CUMBERLAND,2014,5 to 9 years,12254
CUMBERLAND,2014,50 to 54 years,5393
CUMBERLAND,2014,55 to 59 years,5193
CUMBERLAND,2014,60 and 61 years,1839
CUMBERLAND,2014,62 to 64 years,1958
CUMBERLAND,2014,65 and 66 years,1712
CUMBERLAND,2014,67 to 69 years,1551
CUMBERLAND,2014,70 to 74 years,2393
CUMBERLAND,2014,75 to 79 years,1758
CUMBERLAND,2014,80 to 84 years,885
CUMBERLAND,2014,85 years and over,835
CUMBERLAND,2014,Female,76245
CUMBERLAND,2014,Male,81144
CUMBERLAND,2014,Total,157389
CUMBERLAND,2014,Under 5 years,10773
CUMBERLAND,2015,10 to 14 years,9932
CUMBERLAND,2015,15 to 17 years,3461
CUMBERLAND,2015,18 and 19 years,1218
CUMBERLAND,2015,20 years,868
CUMBERLAND,2015,21 years,999
CUMBERLAND,2015,22 to 24 years,3921
CUMBERLAND,2015,25 to 29 years,6637
CUMBERLAND,2015,30 to 34 years,7003
CUMBERLAND,2015,35 to 39 years,5972
CUMBERLAND,2015,40 to 44 years,5665
CUMBERLAND,2015,45 to 49 years,5598
CUMBERLAND,2015,5 to 9 years,10576
CUMBERLAND,2015,50 to 54 years,5438
CUMBERLAND,2015,55 to 59 years,5785
CUMBERLAND,2015,60 and 61 years,1624
CUMBERLAND,2015,62 to 64 years,1670
CUMBERLAND,2015,65 and 66 years,1499
CUMBERLAND,2015,67 to 69 years,2048
CUMBERLAND,2015,70 to 74 years,2052
CUMBERLAND,2015,75 to 79 years,1674
CUMBERLAND,2015,80 to 84 years,846
CUMBERLAND,2015,85 years and over,1286
CUMBERLAND,2015,Female,75079
CUMBERLAND,2015,Male,80775
CUMBERLAND,2015,Total,155854
CUMBERLAND,2015,Under 5 years,10104
ESSEX,2006,10 to 14 years,55202
ESSEX,2006,15 to 17 years,17234
ESSEX,2006,18 and 19 years,10860
ESSEX,2006,20 years,7232
ESSEX,2006,21 years,5039
ESSEX,2006,22 to 24 years,13906
ESSEX,2006,25 to 29 years,25962
ESSEX,2006,30 to 34 years,25422
ESSEX,2006,35 to 39 years,29055
ESSEX,2006,40 to 44 years,29088
ESSEX,2006,45 to 49 years,28999
ESSEX,2006,5 to 9 years,56506
ESSEX,2006,50 to 54 years,24656
ESSEX,2006,55 to 59 years,21372
ESSEX,2006,60 and 61 years,7103
ESSEX,2006,62 to 64 years,8584
ESSEX,2006,65 and 66 years,4324
ESSEX,2006,67 to 69 years,6067
ESSEX,2006,70 to 74 years,10304
ESSEX,2006,75 to 79 years,6425
ESSEX,2006,80 to 84 years,5242
ESSEX,2006,85 years and over,3827
ESSEX,2006,Female,408498
ESSEX,2006,Male,377649
ESSEX,2006,Total,786147
ESSEX,2006,Under 5 years,57958
ESSEX,2007,10 to 14 years,55912
ESSEX,2007,15 to 17 years,17147
ESSEX,2007,18 and 19 years,11004
ESSEX,2007,20 years,4719
ESSEX,2007,21 years,6838
ESSEX,2007,22 to 24 years,14517
ESSEX,2007,25 to 29 years,25653
ESSEX,2007,30 to 34 years,24953
ESSEX,2007,35 to 39 years,28058
ESSEX,2007,40 to 44 years,28983
ESSEX,2007,45 to 49 years,28886
ESSEX,2007,5 to 9 years,51477
ESSEX,2007,50 to 54 years,24953
ESSEX,2007,55 to 59 years,21519
ESSEX,2007,60 and 61 years,7579
ESSEX,2007,62 to 64 years,8075
ESSEX,2007,65 and 66 years,4729
ESSEX,2007,67 to 69 years,7322
ESSEX,2007,70 to 74 years,8153
ESSEX,2007,75 to 79 years,6255
ESSEX,2007,80 to 84 years,5759
ESSEX,2007,85 years and over,3495
ESSEX,2007,Female,403300
ESSEX,2007,Male,372787
ESSEX,2007,Total,776087
ESSEX,2007,Under 5 years,57093
ESSEX,2008,10 to 14 years,54172
ESSEX,2008,15 to 17 years,17305
ESSEX,2008,18 and 19 years,11040
ESSEX,2008,20 years,7636
ESSEX,2008,21 years,7510
ESSEX,2008,22 to 24 years,11061
ESSEX,2008,25 to 29 years,25425
ESSEX,2008,30 to 34 years,24610
ESSEX,2008,35 to 39 years,26386
ESSEX,2008,40 to 44 years,28860
ESSEX,2008,45 to 49 years,28902
ESSEX,2008,5 to 9 years,52313
ESSEX,2008,50 to 54 years,25461
ESSEX,2008,55 to 59 years,21556
ESSEX,2008,60 and 61 years,7742
ESSEX,2008,62 to 64 years,8475
ESSEX,2008,65 and 66 years,5130
ESSEX,2008,67 to 69 years,8427
ESSEX,2008,70 to 74 years,7290
ESSEX,2008,75 to 79 years,6892
ESSEX,2008,80 to 84 years,4875
ESSEX,2008,85 years and over,3499
ESSEX,2008,Female,399455
ESSEX,2008,Male,371220
ESSEX,2008,Total,770675
ESSEX,2008,Under 5 years,55902
ESSEX,2009,10 to 14 years,53603
ESSEX,2009,15 to 17 years,16072
ESSEX,2009,18 and 19 years,10298
ESSEX,2009,20 years,4460
ESSEX,2009,21 years,5720
ESSEX,2009,22 to 24 years,15023
ESSEX,2009,25 to 29 years,27654
ESSEX,2009,30 to 34 years,27542
ESSEX,2009,35 to 39 years,26673
ESSEX,2009,40 to 44 years,28308
ESSEX,2009,45 to 49 years,28497
ESSEX,2009,5 to 9 years,51635
ESSEX,2009,50 to 54 years,25298
ESSEX,2009,55 to 59 years,21749
ESSEX,2009,60 and 61 years,7191
ESSEX,2009,62 to 64 years,8667
ESSEX,2009,65 and 66 years,5288
ESSEX,2009,67 to 69 years,7198
ESSEX,2009,70 to 74 years,7938
ESSEX,2009,75 to 79 years,5882
ESSEX,2009,80 to 84 years,5877
ESSEX,2009,85 years and over,3481
ESSEX,2009,Female,398045
ESSEX,2009,Male,371599
ESSEX,2009,Total,769644
ESSEX,2009,Under 5 years,56471
ESSEX,2010,10 to 14 years,53850
ESSEX,2010,15 to 17 years,17331
ESSEX,2010,18 and 19 years,11151
ESSEX,2010,20 years,5717
ESSEX,2010,21 years,6682
ESSEX,2010,22 to 24 years,13872
ESSEX,2010,25 to 29 years,25899
ESSEX,2010,30 to 34 years,26401
ESSEX,2010,35 to 39 years,29698
ESSEX,2010,40 to 44 years,26594
ESSEX,2010,45 to 49 years,28587
ESSEX,2010,5 to 9 years,53945
ESSEX,2010,50 to 54 years,26383
ESSEX,2010,55 to 59 years,22715
ESSEX,2010,60 and 61 years,7428
ESSEX,2010,62 to 64 years,9410
ESSEX,2010,65 and 66 years,4578
ESSEX,2010,67 to 69 years,6649
ESSEX,2010,70 to 74 years,9804
ESSEX,2010,75 to 79 years,6098
ESSEX,2010,80 to 84 years,4389
ESSEX,2010,85 years and over,4592
ESSEX,2010,Female,408096
ESSEX,2010,Male,376132
ESSEX,2010,Total,784228
ESSEX,2010,Under 5 years,53774
ESSEX,2011,10 to 14 years,52782
ESSEX,2011,15 to 17 years,16458
ESSEX,2011,18 and 19 years,11380
ESSEX,2011,20 years,7231
ESSEX,2011,21 years,5434
ESSEX,2011,22 to 24 years,13948
ESSEX,2011,25 to 29 years,26080
ESSEX,2011,30 to 34 years,26408
ESSEX,2011,35 to 39 years,27405
ESSEX,2011,40 to 44 years,28227
ESSEX,2011,45 to 49 years,28266
ESSEX,2011,5 to 9 years,54230
ESSEX,2011,50 to 54 years,26871
ESSEX,2011,55 to 59 years,23893
ESSEX,2011,60 and 61 years,6883
ESSEX,2011,62 to 64 years,9802
ESSEX,2011,65 and 66 years,5914
ESSEX,2011,67 to 69 years,6732
ESSEX,2011,70 to 74 years,8880
ESSEX,2011,75 to 79 years,5652
ESSEX,2011,80 to 84 years,4140
ESSEX,2011,85 years and over,5458
ESSEX,2011,Female,408220
ESSEX,2011,Male,376917
ESSEX,2011,Total,785137
ESSEX,2011,Under 5 years,53920
ESSEX,2012,10 to 14 years,56451
ESSEX,2012,15 to 17 years,16155
ESSEX,2012,18 and 19 years,11175
ESSEX,2012,20 years,4343
ESSEX,2012,21 years,5793
ESSEX,2012,22 to 24 years,16950
ESSEX,2012,25 to 29 years,26068
ESSEX,2012,30 to 34 years,26310
ESSEX,2012,35 to 39 years,27127
ESSEX,2012,40 to 44 years,28236
ESSEX,2012,45 to 49 years,28479
ESSEX,2012,5 to 9 years,50809
ESSEX,2012,50 to 54 years,26962
ESSEX,2012,55 to 59 years,22550
ESSEX,2012,60 and 61 years,7461
ESSEX,2012,62 to 64 years,11253
ESSEX,2012,65 and 66 years,6225
ESSEX,2012,67 to 69 years,7195
ESSEX,2012,70 to 74 years,9255
ESSEX,2012,75 to 79 years,6550
ESSEX,2012,80 to 84 years,5233
ESSEX,2012,85 years and over,3506
ESSEX,2012,Female,409322
ESSEX,2012,Male,378422
ESSEX,2012,Total,787744
ESSEX,2012,Under 5 years,53225
ESSEX,2013,10 to 14 years,54520
ESSEX,2013,15 to 17 years,15966
ESSEX,2013,18 and 19 years,10822
ESSEX,2013,20 years,5436
ESSEX,2013,21 years,5754
ESSEX,2013,22 to 24 years,16210
ESSEX,2013,25 to 29 years,26020
ESSEX,2013,30 to 34 years,26344
ESSEX,2013,35 to 39 years,24738
ESSEX,2013,40 to 44 years,29939
ESSEX,2013,45 to 49 years,28162
ESSEX,2013,5 to 9 years,52400
ESSEX,2013,50 to 54 years,27423
ESSEX,2013,55 to 59 years,23780
ESSEX,2013,60 and 61 years,7456
ESSEX,2013,62 to 64 years,10829
ESSEX,2013,65 and 66 years,6683
ESSEX,2013,67 to 69 years,6928
ESSEX,2013,70 to 74 years,9768
ESSEX,2013,75 to 79 years,6386
ESSEX,2013,80 to 84 years,4900
ESSEX,2013,85 years and over,4155
ESSEX,2013,Female,410071
ESSEX,2013,Male,379494
ESSEX,2013,Total,789565
ESSEX,2013,Under 5 years,53212
ESSEX,2014,10 to 14 years,51723
ESSEX,2014,15 to 17 years,15891
ESSEX,2014,18 and 19 years,10613
ESSEX,2014,20 years,6687
ESSEX,2014,21 years,5450
ESSEX,2014,22 to 24 years,15725
ESSEX,2014,25 to 29 years,26336
ESSEX,2014,30 to 34 years,26225
ESSEX,2014,35 to 39 years,26226
ESSEX,2014,40 to 44 years,28385
ESSEX,2014,45 to 49 years,28066
ESSEX,2014,5 to 9 years,54911
ESSEX,2014,50 to 54 years,28061
ESSEX,2014,55 to 59 years,23303
ESSEX,2014,60 and 61 years,9239
ESSEX,2014,62 to 64 years,10890
ESSEX,2014,65 and 66 years,6559
ESSEX,2014,67 to 69 years,7709
ESSEX,2014,70 to 74 years,9814
ESSEX,2014,75 to 79 years,6264
ESSEX,2014,80 to 84 years,4311
ESSEX,2014,85 years and over,5034
ESSEX,2014,Female,413207
ESSEX,2014,Male,382516
ESSEX,2014,Total,795723
ESSEX,2014,Under 5 years,53703
ESSEX,2015,10 to 14 years,57250
ESSEX,2015,15 to 17 years,15935
ESSEX,2015,18 and 19 years,10201
ESSEX,2015,20 years,5946
ESSEX,2015,21 years,6517
ESSEX,2015,22 to 24 years,15042
ESSEX,2015,25 to 29 years,26876
ESSEX,2015,30 to 34 years,25823
ESSEX,2015,35 to 39 years,27028
ESSEX,2015,40 to 44 years,27877
ESSEX,2015,45 to 49 years,28123
ESSEX,2015,5 to 9 years,48735
ESSEX,2015,50 to 54 years,27634
ESSEX,2015,55 to 59 years,24251
ESSEX,2015,60 and 61 years,9343
ESSEX,2015,62 to 64 years,10636
ESSEX,2015,65 and 66 years,6748
ESSEX,2015,67 to 69 years,8660
ESSEX,2015,70 to 74 years,9783
ESSEX,2015,75 to 79 years,6967
ESSEX,2015,80 to 84 years,3755
ESSEX,2015,85 years and over,5021
ESSEX,2015,Female,414184
ESSEX,2015,Male,383250
ESSEX,2015,Total,797434
ESSEX,2015,Under 5 years,53453
GLOUCESTER,2006,10 to 14 years,19195
GLOUCESTER,2006,15 to 17 years,6980
GLOUCESTER,2006,18 and 19 years,4515
GLOUCESTER,2006,20 years,3047
GLOUCESTER,2006,21 years,2124
GLOUCESTER,2006,22 to 24 years,5313
GLOUCESTER,2006,25 to 29 years,9391
GLOUCESTER,2006,30 to 34 years,8955
GLOUCESTER,2006,35 to 39 years,9115
GLOUCESTER,2006,40 to 44 years,11744
GLOUCESTER,2006,45 to 49 years,11871
GLOUCESTER,2006,5 to 9 years,17660
GLOUCESTER,2006,50 to 54 years,9674
GLOUCESTER,2006,55 to 59 years,8485
GLOUCESTER,2006,60 and 61 years,2078
GLOUCESTER,2006,62 to 64 years,3833
GLOUCESTER,2006,65 and 66 years,2440
GLOUCESTER,2006,67 to 69 years,2472
GLOUCESTER,2006,70 to 74 years,2961
GLOUCESTER,2006,75 to 79 years,2393
GLOUCESTER,2006,80 to 84 years,2173
GLOUCESTER,2006,85 years and over,1161
GLOUCESTER,2006,Female,144473
GLOUCESTER,2006,Male,137558
GLOUCESTER,2006,Total,282031
GLOUCESTER,2006,Under 5 years,15874
GLOUCESTER,2007,10 to 14 years,18905
GLOUCESTER,2007,15 to 17 years,6757
GLOUCESTER,2007,18 and 19 years,4440
GLOUCESTER,2007,20 years,2560
GLOUCESTER,2007,21 years,2395
GLOUCESTER,2007,22 to 24 years,5562
GLOUCESTER,2007,25 to 29 years,9303
GLOUCESTER,2007,30 to 34 years,8430
GLOUCESTER,2007,35 to 39 years,8875
GLOUCESTER,2007,40 to 44 years,12521
GLOUCESTER,2007,45 to 49 years,12195
GLOUCESTER,2007,5 to 9 years,18700
GLOUCESTER,2007,50 to 54 years,9890
GLOUCESTER,2007,55 to 59 years,8594
GLOUCESTER,2007,60 and 61 years,2993
GLOUCESTER,2007,62 to 64 years,3745
GLOUCESTER,2007,65 and 66 years,2343
GLOUCESTER,2007,67 to 69 years,1971
GLOUCESTER,2007,70 to 74 years,3241
GLOUCESTER,2007,75 to 79 years,2572
GLOUCESTER,2007,80 to 84 years,2217
GLOUCESTER,2007,85 years and over,970
GLOUCESTER,2007,Female,146153
GLOUCESTER,2007,Male,139600
GLOUCESTER,2007,Total,285753
GLOUCESTER,2007,Under 5 years,16860
GLOUCESTER,2008,10 to 14 years,18277
GLOUCESTER,2008,15 to 17 years,5987
GLOUCESTER,2008,18 and 19 years,4893
GLOUCESTER,2008,20 years,2013
GLOUCESTER,2008,21 years,1987
GLOUCESTER,2008,22 to 24 years,5497
GLOUCESTER,2008,25 to 29 years,10124
GLOUCESTER,2008,30 to 34 years,8153
GLOUCESTER,2008,35 to 39 years,10220
GLOUCESTER,2008,40 to 44 years,11284
GLOUCESTER,2008,45 to 49 years,11921
GLOUCESTER,2008,5 to 9 years,18800
GLOUCESTER,2008,50 to 54 years,11029
GLOUCESTER,2008,55 to 59 years,8622
GLOUCESTER,2008,60 and 61 years,2924
GLOUCESTER,2008,62 to 64 years,4003
GLOUCESTER,2008,65 and 66 years,2107
GLOUCESTER,2008,67 to 69 years,2491
GLOUCESTER,2008,70 to 74 years,3720
GLOUCESTER,2008,75 to 79 years,2518
GLOUCESTER,2008,80 to 84 years,2059
GLOUCESTER,2008,85 years and over,1060
GLOUCESTER,2008,Female,146967
GLOUCESTER,2008,Male,140893
GLOUCESTER,2008,Total,287860
GLOUCESTER,2008,Under 5 years,17252
GLOUCESTER,2009,10 to 14 years,19420
GLOUCESTER,2009,15 to 17 years,6420
GLOUCESTER,2009,18 and 19 years,3772
GLOUCESTER,2009,20 years,2065
GLOUCESTER,2009,21 years,1593
GLOUCESTER,2009,22 to 24 years,5735
GLOUCESTER,2009,25 to 29 years,9688
GLOUCESTER,2009,30 to 34 years,8668
GLOUCESTER,2009,35 to 39 years,10889
GLOUCESTER,2009,40 to 44 years,9834
GLOUCESTER,2009,45 to 49 years,11919
GLOUCESTER,2009,5 to 9 years,19646
GLOUCESTER,2009,50 to 54 years,11255
GLOUCESTER,2009,55 to 59 years,8682
GLOUCESTER,2009,60 and 61 years,3615
GLOUCESTER,2009,62 to 64 years,3508
GLOUCESTER,2009,65 and 66 years,3147
GLOUCESTER,2009,67 to 69 years,3129
GLOUCESTER,2009,70 to 74 years,2557
GLOUCESTER,2009,75 to 79 years,2507
GLOUCESTER,2009,80 to 84 years,1694
GLOUCESTER,2009,85 years and over,1659
GLOUCESTER,2009,Female,148728
GLOUCESTER,2009,Male,141192
GLOUCESTER,2009,Total,289920
GLOUCESTER,2009,Under 5 years,17065
GLOUCESTER,2010,10 to 14 years,20733
GLOUCESTER,2010,15 to 17 years,6593
GLOUCESTER,2010,18 and 19 years,4261
GLOUCESTER,2010,20 years,1969
GLOUCESTER,2010,21 years,1372
GLOUCESTER,2010,22 to 24 years,6046
GLOUCESTER,2010,25 to 29 years,8090
GLOUCESTER,2010,30 to 34 years,8588
