buyer_county,year,population,perc_age_up_to_24,blind_and_disability,Estimate; White alone,estimate_race_total,unemployment_rate_bls,prescription_rate,dosage_rate_per_100,potential_pills_per_prescription
Hunterdon,2008,128449,30.3,602,116962,129031,3.7,42.5,1979.8052145209383,46.58365210637502
Hunterdon,2009,129517,31.6,626,118322,130034,6.7,41.2,1684.6591567130183,40.889785357112096
Hunterdon,2010,128458,30.8,645,117555,128373,7.4,48.6,1742.577340453689,35.855500832380436
Hunterdon,2011,128355,30.1,660,115503,128038,6.9,48.6,1887.4605586069883,38.83663700837425
Hunterdon,2012,127996,29.6,693,116247,127050,6.8,50.1,1894.7154598581208,37.8186718534555
Mercer,2006,362840,34,5982,241856,367605,4.3,54.3,1594.5733656708192,29.365992001304225
Mercer,2007,363088,34.1,6304,239084,365449,3.8,57,1864.2348411404398,32.70587440597263
Mercer,2008,364119,33.8,6682,244302,364883,4.7,59.3,2140.7239116882115,36.09989733032398
Mercer,2009,363778,33.9,7049,241209,366222,7.6,58.6,2181.8306769513274,37.232605408725725
Mercer,2010,364445,33.6,7515,229142,366789,8.4,59.3,2314.2545514412327,39.0262150327358
Mercer,2011,365318,33.4,7836,225447,367063,8.3,59.9,2481.332701919971,41.424586008680656
Mercer,2012,366442,33.6,8295,234654,368303,8.3,60.3,2492.728453616125,41.338780325308875
Middlesex,2006,786890,33,6817,478685,786971,4.4,45.7,1681.461068256046,36.7934588239835
Middlesex,2007,792137,32.8,6977,502255,788629,3.9,47.6,1998.2989053661172,41.98106944046465
Middlesex,2008,799191,32.9,7198,503400,789102,4.9,49.6,2424.2278754390377,48.875562004819315
Middlesex,2009,781957,32.4,7350,510205,790738,8.5,52.4,2720.52580896392,51.9184314687771
Middlesex,2010,798882,32.9,7623,515634,810986,9,55.9,2899.6142108596764,51.87145278818742
Middlesex,2011,804299,32.8,7840,511710,814217,8.7,55.9,2930.7645539780606,52.42870400676316
Middlesex,2012,811064,32.4,8110,512824,823041,8.6,51.5,2586.0117080772907,50.21381957431633
Monmouth,2006,626934,32.9,5533,523224,635285,4.2,59.9,2276.1241215183736,37.9987332473852
Monmouth,2007,626644,32.8,5548,528649,642030,3.7,63.3,2569.685180102259,40.59534249766602
Monmouth,2008,627348,32.5,5684,539433,642448,4.8,65.4,2727.467211181035,41.70439160827271
Monmouth,2009,641984,32.4,5752,532605,644105,8.3,67,2716.6346824842985,40.5467863057358
Monmouth,2010,628112,31.7,5991,525380,630966,8.7,68.6,2936.4326744274904,42.80514102663981
Monmouth,2011,628920,31.4,6249,530047,631020,8.6,71,3199.110379698531,45.0578926718103
Monmouth,2012,629263,31.2,6442,522271,629384,8.7,66.9,2908.7859925023404,43.47961124816651
Morris,2006,487486,32,2319,412738,493160,3.4,47.2,1463.9123995355765,31.015093210499497
Morris,2007,488355,31.8,2387,407498,488475,3,48.5,1769.23856620696,36.47914569498887
Morris,2008,489743,31.7,2430,405756,487548,3.9,51.3,2105.681959721732,41.04643196338658
Morris,2009,485828,31.9,2469,407476,488518,7.1,51.8,1971.2056530294672,38.054163185897046
Morris,2010,489811,30.9,2586,406190,492694,7.4,51.7,2035.9171190520424,39.37944137431417
Morris,2011,491307,30.6,2708,403854,494976,7.1,52.1,2219.677309706558,42.60417101164219
Morris,2012,493472,30.7,2839,406693,497999,7.1,49.2,2088.580507100707,42.45082331505501
Ocean,2006,561302,30,4756,509589,562335,5,74.1,2378.374386693794,32.09682033324958
Ocean,2007,565356,30.5,4838,514159,565493,4.6,78.1,2787.4533921988977,35.69082448398077
Ocean,2008,569485,30.4,5032,517529,569111,5.8,81.4,3304.004495289604,40.589735814368595
Ocean,2009,565428,30.5,5273,523902,573678,9.5,82.9,3275.1579334592557,39.5073333348523
Ocean,2010,569374,30.8,5553,525207,577603,10.3,85.1,3537.822591126395,41.57253338573907
Ocean,2011,572991,30.9,5889,530955,579369,10.4,84.9,3716.181929559103,43.77128303367612
Ocean,2012,575961,30.9,6218,534638,580470,10.6,81.9,3460.031495188042,42.247026803272796
Passaic,2006,492730,35.8,10525,293218,497093,5.7,43.6,1358.0610070423963,31.14818823491735
Passaic,2007,492886,35.4,10575,282964,492115,5.3,45.4,1501.850529331326,33.080408135051236
Passaic,2008,494904,35.7,10793,288342,490948,6.6,48.8,1756.1729143429836,35.98714988407753
Passaic,2009,488793,34.7,11010,312332,491778,11,50.4,1897.2458689056514,37.643767240191494
Passaic,2010,496204,35.1,11316,340256,501860,11.4,51.3,2026.6261456981404,39.50538295707876
Passaic,2011,498009,35,11529,342514,502007,11,51.9,2240.1432504231852,43.162683052469845
Passaic,2012,500168,35.1,11706,346489,502885,11.1,50.5,2195.432334735529,43.473907618525324
Salem,2006,65831,32,1180,53289,66595,5.1,74.6,2992.913672889672,40.119486231765045
