Geography,year,unemployment_rate_bls
"Morris County, New Jersey",2013,6.2
"Ocean County, New Jersey",2013,9.3
"Passaic County, New Jersey",2013,10
"Salem County, New Jersey",2013,10.4
"Somerset County, New Jersey",2013,6.3
"Sussex County, New Jersey",2013,7.9
"Union County, New Jersey",2013,8.4
"Warren County, New Jersey",2013,7.6
"Atlantic County, New Jersey",2014,10.6
"Bergen County, New Jersey",2014,5.4
"Burlington County, New Jersey",2014,6.4
"Camden County, New Jersey",2014,7.7
"Cape May County, New Jersey",2014,12.2
"Cumberland County, New Jersey",2014,9.9
"Essex County, New Jersey",2014,8
"Gloucester County, New Jersey",2014,7.3
"Hudson County, New Jersey",2014,6.4
"Hunterdon County, New Jersey",2014,4.9
"Mercer County, New Jersey",2014,5.9
"Middlesex County, New Jersey",2014,6.1
"Monmouth County, New Jersey",2014,6.1
"Morris County, New Jersey",2014,5
"Ocean County, New Jersey",2014,7.4
"Passaic County, New Jersey",2014,8.3
"Salem County, New Jersey",2014,8.5
"Somerset County, New Jersey",2014,5.2
"Sussex County, New Jersey",2014,6.4
"Union County, New Jersey",2014,7
"Warren County, New Jersey",2014,6.3
"Atlantic County, New Jersey",2015,9.6
"Bergen County, New Jersey",2015,4.7
"Burlington County, New Jersey",2015,5.4
"Camden County, New Jersey",2015,6.5
"Cape May County, New Jersey",2015,11.1
"Cumberland County, New Jersey",2015,8.8
"Essex County, New Jersey",2015,6.9
"Gloucester County, New Jersey",2015,6.1
"Hudson County, New Jersey",2015,5.4
"Hunterdon County, New Jersey",2015,4.2
"Mercer County, New Jersey",2015,5
"Middlesex County, New Jersey",2015,5.2
"Monmouth County, New Jersey",2015,5.2
"Morris County, New Jersey",2015,4.4
"Ocean County, New Jersey",2015,6.2
"Passaic County, New Jersey",2015,7.1
"Salem County, New Jersey",2015,7.4
"Somerset County, New Jersey",2015,4.6
"Sussex County, New Jersey",2015,5.5
"Union County, New Jersey",2015,6
"Warren County, New Jersey",2015,5.4
"Atlantic County, New Jersey",2016,7.4
"Bergen County, New Jersey",2016,4.2
"Burlington County, New Jersey",2016,4.5
"Camden County, New Jersey",2016,5.5
"Cape May County, New Jersey",2016,9.8
"Cumberland County, New Jersey",2016,7.5
"Essex County, New Jersey",2016,6
"Gloucester County, New Jersey",2016,5.1
"Hudson County, New Jersey",2016,4.7
"Hunterdon County, New Jersey",2016,3.8
"Mercer County, New Jersey",2016,4.3
"Middlesex County, New Jersey",2016,4.4
"Monmouth County, New Jersey",2016,4.5
"Morris County, New Jersey",2016,3.9
"Ocean County, New Jersey",2016,5.2
"Passaic County, New Jersey",2016,6.2
"Salem County, New Jersey",2016,6.4
"Somerset County, New Jersey",2016,4.1
"Sussex County, New Jersey",2016,4.7
"Union County, New Jersey",2016,5.2
"Warren County, New Jersey",2016,4.6
