Geography,year,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Total:,Margin of Error; Total:,Total; Estimate; AGE - Under 5 years,Total; Estimate; AGE - 5 to 9 years,Total; Estimate; AGE - 10 to 14 years,Total; Estimate; AGE - 15 to 19 years,Total; Estimate; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 39 years,Total; Estimate; AGE - 40 to 44 years,Total; Estimate; AGE - 45 to 49 years,Total; Estimate; AGE - 50 to 54 years,Total; Estimate; AGE - 55 to 59 years,Total; Estimate; AGE - 60 to 64 years,Total; Estimate; AGE - 65 to 69 years,Total; Estimate; AGE - 70 to 74 years,Total; Estimate; AGE - 75 to 79 years,Total; Estimate; AGE - 80 to 84 years,Total; Estimate; AGE - 85 years and over,Total; Margin of Error; AGE - Under 5 years,Total; Margin of Error; AGE - 5 to 9 years,Total; Margin of Error; AGE - 10 to 14 years,Total; Margin of Error; AGE - 15 to 19 years,Total; Margin of Error; AGE - 20 to 24 years,Total; Margin of Error; AGE - 25 to 29 years,Total; Margin of Error; AGE - 30 to 34 years,Total; Margin of Error; AGE - 35 to 39 years,Total; Margin of Error; AGE - 40 to 44 years,Total; Margin of Error; AGE - 45 to 49 years,Total; Margin of Error; AGE - 50 to 54 years,Total; Margin of Error; AGE - 55 to 59 years,Total; Margin of Error; AGE - 60 to 64 years,Total; Margin of Error; AGE - 65 to 69 years,Total; Margin of Error; AGE - 70 to 74 years,Total; Margin of Error; AGE - 75 to 79 years,Total; Margin of Error; AGE - 80 to 84 years,Total; Margin of Error; AGE - 85 years and over,Male; Estimate; Total population,Male; Margin of Error; Total population,Female; Estimate; Total population,Female; Margin of Error; Total population,Unemployment rate; Estimate; Population 16 years and over,Unemployment rate; Margin of Error; Population 16 years and over,unemployment_rate_bls
"Mercer County, New Jersey",2010,229142,4983,75871,1500,786,126,32365,930,0,281,20930,4754,7695,1744,2329,1181,5366,1575,366789,NA,5.9,6.1,6.6,7.7,7.3,6.4,6.3,7,7.2,7.7,7.4,7,4.8,3.7,2.7,2.1,2,2.2,0.1,0.5,0.5,0.4,0.4,0.1,0.1,0.6,0.6,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,179446,712,187343,712,10.7,1.2,8.4
"Middlesex County, New Jersey",2010,515634,4976,74513,2346,1478,431,175464,2087,228,228,22356,4361,21313,3466,6506,1974,14807,3346,810986,NA,6.1,6.3,6.3,7,7.2,6.7,7.1,7.3,7.2,7.6,7.4,6.2,5,3.8,2.6,2.3,1.9,1.7,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,398391,438,412595,438,10,0.7,9
"Monmouth County, New Jersey",2010,525380,4322,46068,1721,276,237,31260,1536,0,281,10244,3710,17738,4343,2892,1552,14846,3951,630966,NA,5.5,6.7,7.1,7,5.4,5.2,5.2,6.1,7.6,8.9,8.6,7.1,5.9,4,3.1,2.5,2.1,2.1,NA,0.4,0.4,0.2,0.2,0.1,NA,0.4,0.4,NA,NA,0.3,0.3,0.2,0.2,0.2,0.2,0.2,307147,460,323819,460,8.7,0.8,8.7
"Morris County, New Jersey",2010,406190,4638,15971,975,736,522,43945,1545,0,281,17888,4730,7964,1980,3171,1212,4793,1667,492694,NA,5.5,6.4,7.5,6.7,4.8,5.1,5.4,6.5,8,9,8.3,7.4,5.4,4.1,3.2,2.4,1.9,2.3,0.1,0.4,0.4,0.2,0.2,0.1,0.1,0.6,0.5,0.1,0.1,0.5,0.5,0.3,0.3,0.3,0.2,0.4,240995,407,251699,407,8.7,0.9,7.4
"Ocean County, New Jersey",2010,525207,3541,16710,2009,106,150,8863,1173,321,436,15124,3528,11272,3231,2883,1254,8389,2486,577603,NA,6.7,6.2,6.6,5.9,5.4,5.4,5.2,5.5,6,6.8,6.8,5.7,6.8,5.5,4.6,4.5,3.2,3.1,0.1,0.5,0.5,0.2,0.2,0.1,0.2,0.4,0.5,0.2,0.1,0.3,0.4,0.4,0.4,0.3,0.3,0.3,276023,723,301580,723,11,0.9,10.3
"Passaic County, New Jersey",2010,340256,6883,60731,1979,1385,491,26289,884,0,281,63506,6657,9693,2794,3492,1233,6201,2611,501860,NA,6.8,6.7,6.9,7.6,7.1,6.6,6.6,7.1,6.7,7.4,7.2,6.3,4.9,3.9,2.5,2.1,1.7,2,0.1,0.5,0.5,0.2,0.2,0.2,0.1,0.4,0.4,0.1,0.1,0.4,0.4,0.3,0.3,0.2,0.3,0.3,243680,329,258180,329,11.1,1.1,11.4
"Salem County, New Jersey",2010,53833,789,10046,912,41,57,347,356,0,281,893,580,898,531,141,180,757,540,66058,NA,5.6,5.5,7.9,7.2,5.8,5,4.7,5.1,7.9,8.2,8.2,7.5,5.9,4.7,3.1,3.9,1.9,1.8,0.5,1,1.1,0.6,0.7,0.6,0.4,1,1.1,0.5,0.7,0.9,1,0.6,0.8,0.7,0.6,0.5,32209,328,33849,328,15.9,2.7,11.6
"Somerset County, New Jersey",2010,226154,3981,27511,1114,541,419,44609,1748,206,339,17320,4055,7853,2300,1226,830,6627,2031,324194,NA,5.9,6.9,7.5,6.8,4.3,5.3,6,7.1,8,9.2,8.6,7,4.9,4,2.6,1.9,1.8,2.2,NA,0.6,0.6,0.2,0.2,0.2,0.1,0.7,0.7,NA,NA,0.6,0.5,0.4,0.3,0.3,0.3,0.3,158657,616,165537,616,7.2,0.9,7.6
"Sussex County, New Jersey",2010,140068,928,2844,563,297,390,2507,578,0,281,1179,812,2344,842,457,410,1887,777,149239,NA,5.1,5.9,8,7.1,4.6,4.4,5.2,7.7,7.1,9.9,8.9,7.6,6.5,4.5,2.4,1.8,1.5,1.5,0.2,0.7,0.7,0.3,0.2,0.4,0.4,1,0.8,0.5,0.2,0.7,0.8,0.5,0.5,0.4,0.4,0.4,73547,631,75692,631,11,1.8,9.4
"Union County, New Jersey",2010,319203,6528,115299,3020,549,189,23293,1524,599,963,68994,6563,9724,2265,2498,1262,7226,2030,537661,NA,6.7,6.6,6.9,6.7,6,6.3,6.6,6.5,8.1,8,7.6,6.3,5,3.7,2.7,2.3,1.7,2.3,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.2,0.2,260324,255,277337,255,12.4,1.1,9.5
