Geography,year,median_household_income
SALEM,2007,62989.85160866709
SOMERSET,2007,111861.0512147078
SUSSEX,2007,89983.21142481943
UNION,2007,70505.06139198948
WARREN,2007,75518.63755745238
ATLANTIC,2006,61522.778528021605
BERGEN,2006,89346.43450371371
BURLINGTON,2006,80204.5948683322
CAMDEN,2006,67038.97940580688
CAPE MAY,2006,58924.28629304524
CUMBERLAND,2006,55884.07393652937
ESSEX,2006,61109.32849426063
GLOUCESTER,2006,78636.78291694801
HUDSON,2006,58374.197501688046
HUNTERDON,2006,109896.43247805537
MERCER,2006,76924.08676569886
MIDDLESEX,2006,85598.29203241054
MONMOUTH,2006,90888.33220796759
MORRIS,2006,105526.34807562457
OCEAN,2006,64573.59216745442
PASSAIC,2006,58825.34098582039
SALEM,2006,68512.55773126266
SOMERSET,2006,108001.15867656989
SUSSEX,2006,92452.61039837947
UNION,2006,73337.31937879811
WARREN,2006,73133.53916272789
