GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
0500000US34001,34001,"Atlantic County, New Jersey",271712,*****,184963,2826,44395,2259,683,218,17714,834,0,279,15731,2743,8226,2265,1565,884,6661,2139
0500000US34003,34003,"Bergen County, New Jersey",895250,*****,665215,6048,52056,2401,2142,1007,132898,1546,63,105,29332,5729,13544,2954,3654,1423,9890,2607
0500000US34005,34005,"Burlington County, New Jersey",446108,*****,336957,3341,72494,1835,471,270,19029,799,0,279,7108,2759,10049,2613,709,539,9340,2444
0500000US34007,34007,"Camden County, New Jersey",517879,*****,342838,3844,98246,2752,2348,1077,24635,846,0,279,35110,4288,14702,3051,2519,880,12183,2871
0500000US34009,34009,"Cape May County, New Jersey",96092,*****,87071,891,5699,674,396,405,186,190,0,279,1803,882,937,587,324,314,613,476
0500000US34011,34011,"Cumberland County, New Jersey",157745,*****,101192,3115,32791,1965,1822,650,1651,398,42,68,13418,3228,6829,1928,2590,1323,4239,1299
0500000US34013,34013,"Essex County, New Jersey",769644,*****,341671,6275,311751,4273,2107,1013,33320,1233,442,414,48112,5138,32241,5730,6711,2676,25530,5434
0500000US34015,34015,"Gloucester County, New Jersey",289920,*****,243885,1648,29218,1508,52,104,6262,1142,0,279,3280,1468,7223,1815,580,409,6643,1813
0500000US34017,34017,"Hudson County, New Jersey",597924,*****,358677,6593,81792,3463,3310,1539,68327,1399,32,54,70349,6964,15437,3270,4815,1462,10622,2750
0500000US34019,34019,"Hunterdon County, New Jersey",130034,*****,118322,1349,3840,366,47,87,4223,498,73,103,1811,1483,1718,742,48,79,1670,734
0500000US34021,34021,"Mercer County, New Jersey",366222,*****,241209,3769,71339,2892,473,402,29699,1082,269,366,15316,3840,7917,2718,583,435,7334,2700
0500000US34023,34023,"Middlesex County, New Jersey",790738,*****,510205,4790,80045,2653,1723,1085,153425,1584,0,279,31640,4548,13700,2677,3178,1155,10522,2246
0500000US34025,34025,"Monmouth County, New Jersey",644105,*****,532605,3939,48692,1852,1809,1372,34245,1247,77,131,13337,3588,13340,2781,1177,577,12163,2822
0500000US34027,34027,"Morris County, New Jersey",488518,*****,407476,3153,15456,1659,1760,1006,42868,1167,437,670,11010,2841,9511,2435,4434,1807,5077,1314
0500000US34029,34029,"Ocean County, New Jersey",573678,*****,523902,3470,19261,1423,554,364,10690,603,62,108,9681,2860,9528,2568,2600,1485,6928,2030
0500000US34031,34031,"Passaic County, New Jersey",491778,*****,312332,6765,61179,2938,1410,891,23547,1165,88,150,87657,6572,5565,1631,2027,788,3538,1499
0500000US34033,34033,"Salem County, New Jersey",66342,*****,52967,1313,10016,623,60,62,199,193,0,279,1642,1283,1458,828,56,132,1402,827
0500000US34035,34035,"Somerset County, New Jersey",326869,*****,237329,3108,29504,1427,967,765,42917,1015,0,279,11698,3391,4454,1536,864,715,3590,1217
0500000US34037,34037,"Sussex County, New Jersey",151118,*****,141658,965,3179,287,150,157,3657,452,0,279,1151,818,1323,741,510,436,813,652
0500000US34039,34039,"Union County, New Jersey",526426,*****,315103,4936,113820,2159,581,352,24469,832,82,140,64771,5596,7600,1753,2699,1114,4901,1279
0500000US34041,34041,"Warren County, New Jersey",109638,*****,99301,1164,4068,656,62,98,3061,393,0,279,1391,906,1755,1031,518,501,1237,779
