Geography,year,variable_name,variable,estimate,moe
"Bergen County, New Jersey",2006,Estimate!!Total!!Female!!10 to 14 years,B01001_029,28360,1804
"Burlington County, New Jersey",2006,Estimate!!Total,B01001_001,450627,0
"Burlington County, New Jersey",2006,Estimate!!Total!!Male,B01001_002,221932,456
"Burlington County, New Jersey",2006,Estimate!!Total!!Male!!Under 5 years,B01001_003,12605,382
"Burlington County, New Jersey",2006,Estimate!!Total!!Male!!5 to 9 years,B01001_004,13432,1072
"Burlington County, New Jersey",2006,Estimate!!Total!!Male!!10 to 14 years,B01001_005,15942,1070
"Burlington County, New Jersey",2006,Estimate!!Total!!Male!!15 to 17 years,B01001_006,10105,279
"Burlington County, New Jersey",2006,Estimate!!Total!!Male!!18 and 19 years,B01001_007,6371,540
"Burlington County, New Jersey",2006,Estimate!!Total!!Male!!20 years,B01001_008,2903,735
"Burlington County, New Jersey",2006,Estimate!!Total!!Male!!21 years,B01001_009,2427,680
"Burlington County, New Jersey",2006,Estimate!!Total!!Male!!22 to 24 years,B01001_010,9690,907
"Burlington County, New Jersey",2006,Estimate!!Total!!Male!!25 to 29 years,B01001_011,14877,673
"Burlington County, New Jersey",2006,Estimate!!Total!!Male!!30 to 34 years,B01001_012,15353,601
"Burlington County, New Jersey",2006,Estimate!!Total!!Male!!35 to 39 years,B01001_013,16939,1505
"Burlington County, New Jersey",2006,Estimate!!Total!!Male!!40 to 44 years,B01001_014,19517,1414
"Burlington County, New Jersey",2006,Estimate!!Total!!Male!!45 to 49 years,B01001_015,18850,213
"Burlington County, New Jersey",2006,Estimate!!Total!!Male!!50 to 54 years,B01001_016,15544,252
"Burlington County, New Jersey",2006,Estimate!!Total!!Male!!55 to 59 years,B01001_017,11822,1160
"Burlington County, New Jersey",2006,Estimate!!Total!!Male!!60 and 61 years,B01001_018,4350,830
"Burlington County, New Jersey",2006,Estimate!!Total!!Male!!62 to 64 years,B01001_019,7339,993
"Burlington County, New Jersey",2006,Estimate!!Total!!Male!!65 and 66 years,B01001_020,2147,516
"Burlington County, New Jersey",2006,Estimate!!Total!!Male!!67 to 69 years,B01001_021,4887,736
"Burlington County, New Jersey",2006,Estimate!!Total!!Male!!70 to 74 years,B01001_022,6387,718
"Burlington County, New Jersey",2006,Estimate!!Total!!Male!!75 to 79 years,B01001_023,4442,589
"Burlington County, New Jersey",2006,Estimate!!Total!!Male!!80 to 84 years,B01001_024,3588,710
"Burlington County, New Jersey",2006,Estimate!!Total!!Male!!85 years and over,B01001_025,2415,592
"Burlington County, New Jersey",2006,Estimate!!Total!!Female,B01001_026,228695,456
"Burlington County, New Jersey",2006,Estimate!!Total!!Female!!Under 5 years,B01001_027,13913,382
"Burlington County, New Jersey",2006,Estimate!!Total!!Female!!5 to 9 years,B01001_028,13654,1063
"Burlington County, New Jersey",2006,Estimate!!Total!!Female!!10 to 14 years,B01001_029,14810,1064
"Camden County, New Jersey",2006,Estimate!!Total,B01001_001,517001,0
"Camden County, New Jersey",2006,Estimate!!Total!!Male,B01001_002,250593,350
"Camden County, New Jersey",2006,Estimate!!Total!!Male!!Under 5 years,B01001_003,17140,319
"Camden County, New Jersey",2006,Estimate!!Total!!Male!!5 to 9 years,B01001_004,16738,1562
"Camden County, New Jersey",2006,Estimate!!Total!!Male!!10 to 14 years,B01001_005,19741,1560
"Camden County, New Jersey",2006,Estimate!!Total!!Male!!15 to 17 years,B01001_006,12550,266
"Camden County, New Jersey",2006,Estimate!!Total!!Male!!18 and 19 years,B01001_007,7029,270
"Camden County, New Jersey",2006,Estimate!!Total!!Male!!20 years,B01001_008,3834,847
"Camden County, New Jersey",2006,Estimate!!Total!!Male!!21 years,B01001_009,4371,835
"Camden County, New Jersey",2006,Estimate!!Total!!Male!!22 to 24 years,B01001_010,9445,904
"Camden County, New Jersey",2006,Estimate!!Total!!Male!!25 to 29 years,B01001_011,16303,44
"Camden County, New Jersey",2006,Estimate!!Total!!Male!!30 to 34 years,B01001_012,16054,121
"Camden County, New Jersey",2006,Estimate!!Total!!Male!!35 to 39 years,B01001_013,19868,1430
"Camden County, New Jersey",2006,Estimate!!Total!!Male!!40 to 44 years,B01001_014,18412,1432
"Camden County, New Jersey",2006,Estimate!!Total!!Male!!45 to 49 years,B01001_015,20236,119
"Camden County, New Jersey",2006,Estimate!!Total!!Male!!50 to 54 years,B01001_016,17484,85
"Camden County, New Jersey",2006,Estimate!!Total!!Male!!55 to 59 years,B01001_017,14237,1034
"Camden County, New Jersey",2006,Estimate!!Total!!Male!!60 and 61 years,B01001_018,5564,1007
"Camden County, New Jersey",2006,Estimate!!Total!!Male!!62 to 64 years,B01001_019,5935,909
"Camden County, New Jersey",2006,Estimate!!Total!!Male!!65 and 66 years,B01001_020,3277,682
"Camden County, New Jersey",2006,Estimate!!Total!!Male!!67 to 69 years,B01001_021,3988,875
"Camden County, New Jersey",2006,Estimate!!Total!!Male!!70 to 74 years,B01001_022,6520,886
"Camden County, New Jersey",2006,Estimate!!Total!!Male!!75 to 79 years,B01001_023,4792,769
"Camden County, New Jersey",2006,Estimate!!Total!!Male!!80 to 84 years,B01001_024,4585,779
"Camden County, New Jersey",2006,Estimate!!Total!!Male!!85 years and over,B01001_025,2490,605
"Camden County, New Jersey",2006,Estimate!!Total!!Female,B01001_026,266408,350
"Camden County, New Jersey",2006,Estimate!!Total!!Female!!Under 5 years,B01001_027,16399,2
"Camden County, New Jersey",2006,Estimate!!Total!!Female!!5 to 9 years,B01001_028,15305,1374
"Camden County, New Jersey",2006,Estimate!!Total!!Female!!10 to 14 years,B01001_029,19428,1374
"Cape May County, New Jersey",2006,Estimate!!Total,B01001_001,97724,0
"Cape May County, New Jersey",2006,Estimate!!Total!!Male,B01001_002,46370,714
"Cape May County, New Jersey",2006,Estimate!!Total!!Male!!Under 5 years,B01001_003,1913,168
"Cape May County, New Jersey",2006,Estimate!!Total!!Male!!5 to 9 years,B01001_004,2658,692
"Cape May County, New Jersey",2006,Estimate!!Total!!Male!!10 to 14 years,B01001_005,2814,570
"Cape May County, New Jersey",2006,Estimate!!Total!!Male!!15 to 17 years,B01001_006,2148,213
"Cape May County, New Jersey",2006,Estimate!!Total!!Male!!18 and 19 years,B01001_007,1137,273
"Cape May County, New Jersey",2006,Estimate!!Total!!Male!!20 years,B01001_008,382,232
"Cape May County, New Jersey",2006,Estimate!!Total!!Male!!21 years,B01001_009,464,300
"Cape May County, New Jersey",2006,Estimate!!Total!!Male!!22 to 24 years,B01001_010,1713,383
"Cape May County, New Jersey",2006,Estimate!!Total!!Male!!25 to 29 years,B01001_011,2808,407
"Cape May County, New Jersey",2006,Estimate!!Total!!Male!!30 to 34 years,B01001_012,2755,581
"Cape May County, New Jersey",2006,Estimate!!Total!!Male!!35 to 39 years,B01001_013,2781,672
"Cape May County, New Jersey",2006,Estimate!!Total!!Male!!40 to 44 years,B01001_014,3625,597
"Cape May County, New Jersey",2006,Estimate!!Total!!Male!!45 to 49 years,B01001_015,3570,200
"Cape May County, New Jersey",2006,Estimate!!Total!!Male!!50 to 54 years,B01001_016,3514,180
"Cape May County, New Jersey",2006,Estimate!!Total!!Male!!55 to 59 years,B01001_017,2401,542
"Cape May County, New Jersey",2006,Estimate!!Total!!Male!!60 and 61 years,B01001_018,1459,465
"Cape May County, New Jersey",2006,Estimate!!Total!!Male!!62 to 64 years,B01001_019,1688,503
"Cape May County, New Jersey",2006,Estimate!!Total!!Male!!65 and 66 years,B01001_020,804,305
"Cape May County, New Jersey",2006,Estimate!!Total!!Male!!67 to 69 years,B01001_021,1410,427
"Cape May County, New Jersey",2006,Estimate!!Total!!Male!!70 to 74 years,B01001_022,2291,540
"Cape May County, New Jersey",2006,Estimate!!Total!!Male!!75 to 79 years,B01001_023,1924,413
"Cape May County, New Jersey",2006,Estimate!!Total!!Male!!80 to 84 years,B01001_024,909,342
"Cape May County, New Jersey",2006,Estimate!!Total!!Male!!85 years and over,B01001_025,1202,371
"Cape May County, New Jersey",2006,Estimate!!Total!!Female,B01001_026,51354,714
"Cape May County, New Jersey",2006,Estimate!!Total!!Female!!Under 5 years,B01001_027,2192,517
"Cape May County, New Jersey",2006,Estimate!!Total!!Female!!5 to 9 years,B01001_028,2954,828
"Cape May County, New Jersey",2006,Estimate!!Total!!Female!!10 to 14 years,B01001_029,3123,838
"Cumberland County, New Jersey",2006,Estimate!!Total,B01001_001,154823,0
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male,B01001_002,79949,279
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male!!Under 5 years,B01001_003,5368,131
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male!!5 to 9 years,B01001_004,5916,761
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male!!10 to 14 years,B01001_005,4262,732
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male!!15 to 17 years,B01001_006,3580,107
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male!!18 and 19 years,B01001_007,2267,740
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male!!20 years,B01001_008,1142,571
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male!!21 years,B01001_009,1098,451
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male!!22 to 24 years,B01001_010,3258,539
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male!!25 to 29 years,B01001_011,6832,698
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male!!30 to 34 years,B01001_012,6104,458
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male!!35 to 39 years,B01001_013,7746,1243
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male!!40 to 44 years,B01001_014,7777,1162
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male!!45 to 49 years,B01001_015,5453,782
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male!!50 to 54 years,B01001_016,3913,349
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male!!55 to 59 years,B01001_017,4937,651
