Geography,year,variable_name,variable,estimate,moe
"Atlantic County, New Jersey",2006,Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),B19013_001,52230,2128
"Bergen County, New Jersey",2006,Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),B19013_001,75851,2537
"Burlington County, New Jersey",2006,Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),B19013_001,68090,2059
"Camden County, New Jersey",2006,Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),B19013_001,56913,1530
"Cape May County, New Jersey",2006,Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),B19013_001,50024,3383
"Cumberland County, New Jersey",2006,Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),B19013_001,47443,3702
"Essex County, New Jersey",2006,Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),B19013_001,51879,1171
"Gloucester County, New Jersey",2006,Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),B19013_001,66759,3624
"Hudson County, New Jersey",2006,Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),B19013_001,49557,2600
"Hunterdon County, New Jersey",2006,Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),B19013_001,93297,5475
"Mercer County, New Jersey",2006,Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),B19013_001,65305,2955
"Middlesex County, New Jersey",2006,Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),B19013_001,72669,2253
"Monmouth County, New Jersey",2006,Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),B19013_001,77160,2302
"Morris County, New Jersey",2006,Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),B19013_001,89587,3646
"Ocean County, New Jersey",2006,Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),B19013_001,54820,1726
"Passaic County, New Jersey",2006,Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),B19013_001,49940,1852
