buyer_county,buyer_state,year,count,dosage_unit,countyfips
OCEAN,NJ,2010,53668,20143442,34029
OCEAN,NJ,2011,52626,21293388,34029
OCEAN,NJ,2012,49674,19928432,34029
OCEAN,NJ,2013,54582,18657766,34029
OCEAN,NJ,2014,51916,17879780,34029
PASSAIC,NJ,2006,23887,6652051,34031
PASSAIC,NJ,2007,25227,7359947,34031
PASSAIC,NJ,2008,27867,8648940,34031
PASSAIC,NJ,2009,27925,9222275,34031
PASSAIC,NJ,2010,29454,10001100,34031
PASSAIC,NJ,2011,30569,11108265,34031
PASSAIC,NJ,2012,29694,10942950,34031
PASSAIC,NJ,2013,31426,10766400,34031
PASSAIC,NJ,2014,30798,10633290,34031
SALEM,NJ,2006,5774,1965965,34033
SALEM,NJ,2007,5318,1998275,34033
SALEM,NJ,2008,5129,2071350,34033
SALEM,NJ,2009,5693,2319730,34033
SALEM,NJ,2010,6906,2669500,34033
SALEM,NJ,2011,7097,2742600,34033
SALEM,NJ,2012,6709,2671920,34033
SALEM,NJ,2013,6868,2808430,34033
SALEM,NJ,2014,6822,2954290,34033
SOMERSET,NJ,2006,13772,3594769,34035
SOMERSET,NJ,2007,15223,4307656,34035
SOMERSET,NJ,2008,16339,4972864,34035
SOMERSET,NJ,2009,16326,4877002,34035
SOMERSET,NJ,2010,16738,5277510,34035
SOMERSET,NJ,2011,16830,5912290,34035
SOMERSET,NJ,2012,15754,6115740,34035
SOMERSET,NJ,2013,17123,6440390,34035
SOMERSET,NJ,2014,16939,7028160,34035
SUSSEX,NJ,2006,11499,2883161,34037
SUSSEX,NJ,2007,12347,3648272,34037
SUSSEX,NJ,2008,12479,4612430,34037
SUSSEX,NJ,2009,12391,3767420,34037
SUSSEX,NJ,2010,13134,4022890,34037
SUSSEX,NJ,2011,13315,4389470,34037
SUSSEX,NJ,2012,12995,4430120,34037
SUSSEX,NJ,2013,14229,4299560,34037
SUSSEX,NJ,2014,13135,4277570,34037
UNION,NJ,2006,25023,8095212,34039
UNION,NJ,2007,27538,11581116,34039
UNION,NJ,2008,27968,10287670,34039
UNION,NJ,2009,27627,10628800,34039
UNION,NJ,2010,27760,10772316,34039
UNION,NJ,2011,27629,11891340,34039
UNION,NJ,2012,25827,11050620,34039
UNION,NJ,2013,28331,10878970,34039
UNION,NJ,2014,28332,10167370,34039
WARREN,NJ,2006,8322,2191181,34041
WARREN,NJ,2007,9366,2615104,34041
WARREN,NJ,2008,9723,2953850,34041
WARREN,NJ,2009,9737,2862670,34041
WARREN,NJ,2010,10287,3062940,34041
WARREN,NJ,2011,11033,3427060,34041
WARREN,NJ,2012,11263,3407472,34041
WARREN,NJ,2013,12230,3340750,34041
WARREN,NJ,2014,11998,3324110,34041
